Frame 284: Person - x: 506, y: 366, w: 103, h: 81, conf: 0.80
Frame 284: Person - x: 32, y: 367, w: 85, h: 112, conf: 0.38
Frame 285: Person - x: 95, y: 97, w: 437, h: 381, conf: 0.89
Frame 285: Person - x: 506, y: 366, w: 104, h: 81, conf: 0.79
Frame 286: Person - x: 97, y: 98, w: 434, h: 381, conf: 0.90
Frame 286: Person - x: 505, y: 366, w: 105, h: 81, conf: 0.76
Frame 286: Person - x: 584, y: 379, w: 55, h: 70, conf: 0.34
Frame 287: Person - x: 97, y: 98, w: 434, h: 380, conf: 0.90
Frame 287: Person - x: 505, y: 366, w: 104, h: 81, conf: 0.77
Frame 287: Person - x: 584, y: 380, w: 55, h: 70, conf: 0.35
Frame 288: Person - x: 98, y: 99, w: 432, h: 380, conf: 0.90
Frame 288: Person - x: 505, y: 366, w: 104, h: 81, conf: 0.76
Frame 288: Person - x: 584, y: 379, w: 55, h: 70, conf: 0.38
Frame 288: Person - x: 32, y: 367, w: 85, h: 112, conf: 0.34
Frame 289: Person - x: 98, y: 100, w: 432, h: 378, conf: 0.90
Frame 289: Person - x: 505, y: 366, w: 105, h: 81, conf: 0.75
Frame 289: Person - x: 584, y: 379, w: 55, h: 70, conf: 0.38
Frame 289: Person - x: 33, y: 367, w: 85, h: 112, conf: 0.38
Frame 290: Person - x: 100, y: 100, w: 431, h: 378, conf: 0.90
Frame 290: Person - x: 505, y: 366, w: 105, h: 81, conf: 0.75
Frame 290: Person - x: 32, y: 367, w: 85, h: 112, conf: 0.43
Frame 290: Person - x: 584, y: 379, w: 55, h: 71, conf: 0.34
Frame 291: Person - x: 98, y: 103, w: 433, h: 376, conf: 0.90
Frame 291: Person - x: 505, y: 366, w: 104, h: 81, conf: 0.75
Frame 291: Person - x: 584, y: 379, w: 55, h: 71, conf: 0.35
Frame 292: Person - x: 97, y: 104, w: 432, h: 375, conf: 0.89
